10	10
95	96	98	96	91	96	94	98	100	91
98	95	91	90	98	100	98	100	98	92
96	98	91	98	93	95	93	96	97	99
90	98	91	98	100	91	100	96	96	92
98	94	95	93	94	100	90	100	98	90
94	95	94	98	93	98	94	98	90	91
92	93	97	97	92	90	94	96	92	92
92	93	99	100	92	91	93	90	91	90
92	90	94	100	98	90	97	90	92	94
90	91	96	97	96	91	97	96	92	95
8	7	5	3	9	4	6	2	10	1
9	4	8	2	1	6	5	10	3	7
5	1	2	8	7	9	4	10	6	3
5	6	3	4	10	8	7	1	9	2
9	10	6	8	5	1	3	7	4	2
6	7	10	1	4	8	5	3	2	9
1	9	8	3	10	7	2	6	4	5
5	6	7	1	4	10	8	3	9	2
1	9	10	5	8	7	3	6	2	4
1	9	6	7	4	10	8	5	3	2
