10	10
24	36	21	23	23	27	24	39	38	21
11	14	15	24	32	17	36	38	24	30
30	11	18	12	31	11	39	31	21	12
34	36	39	11	13	16	12	29	13	25
37	16	14	25	26	27	14	17	20	22
22	16	17	36	37	40	20	40	24	24
36	25	25	24	25	13	36	17	32	30
31	29	37	28	34	11	35	39	36	38
14	26	12	20	17	27	20	25	18	20
39	37	29	12	31	20	28	22	30	24
0	1	2	3	4	5	6	7	8	10
0	1	2	3	4	5	6	7	8	10
0	1	2	3	8	5	6	10	9	7
0	1	2	3	4	5	6	7	8	10
0	1	2	3	4	5	6	7	8	10
0	1	2	3	4	5	6	10	8	9
0	1	2	3	4	5	6	7	8	10
0	1	2	3	4	5	6	7	8	9
0	1	2	3	4	5	6	7	8	9
0	1	2	3	4	5	6	7	8	10
