10	10
33	34	40	38	30	15	18	18	28	37
38	33	17	25	19	11	39	19	17	26
12	27	25	29	40	36	19	31	21	33
38	28	33	18	22	33	26	38	26	35
18	21	36	11	19	21	25	17	26	31
25	15	38	12	38	39	38	39	14	37
25	11	13	27	32	21	40	29	11	20
40	21	32	27	20	14	20	25	11	20
24	24	11	25	30	37	16	21	22	14
27	26	38	29	29	24	23	37	15	25
3	1	2	4	9	6	10	5	8	7
9	5	1	2	6	8	3	4	10	7
2	10	7	1	3	8	4	5	6	9
1	9	7	6	2	3	8	10	5	4
9	8	3	6	10	7	2	4	1	5
6	9	10	8	4	3	2	5	7	1
8	10	5	2	7	6	9	1	3	4
2	1	8	6	10	4	7	9	3	5
5	7	3	9	4	1	10	8	6	2
1	4	2	6	8	7	5	10	3	9
