30	15
14	40	28	37	30	31	11	20	31	11	40	38	39	38	36
33	33	35	23	30	12	14	15	15	35	38	32	28	12	30
25	13	11	30	37	19	38	33	12	20	13	25	20	30	22
25	24	32	20	12	15	23	28	23	15	17	26	22	11	28
38	34	25	14	40	15	30	11	37	32	20	25	22	37	32
20	32	14	39	13	36	16	36	26	30	29	24	15	26	24
31	30	29	34	30	40	23	20	33	30	32	18	26	27	27
30	14	39	33	18	39	14	26	23	23	15	24	30	27	33
17	27	32	20	15	38	28	29	12	12	20	12	12	19	34
13	40	15	13	40	17	35	13	20	11	34	26	14	12	17
33	27	15	20	30	37	36	15	30	39	36	19	35	38	21
26	11	32	16	19	21	35	27	29	40	17	25	13	36	33
32	26	32	18	40	19	36	16	39	15	31	37	36	36	21
40	35	19	21	40	28	29	24	29	12	17	31	17	12	35
19	14	13	30	35	34	17	14	13	29	19	24	13	19	17
14	19	25	38	33	39	17	22	14	27	35	33	27	35	19
36	26	19	38	24	28	20	40	28	21	20	21	32	17	22
20	24	32	37	34	37	38	37	19	39	26	21	35	29	12
26	34	32	11	20	11	36	31	16	39	20	23	18	33	26
22	34	33	36	27	20	26	26	15	19	34	28	32	18	38
39	13	40	20	12	17	35	14	17	40	28	36	22	33	11
38	11	40	28	38	34	12	17	13	12	27	35	15	31	40
13	35	40	19	34	22	21	27	24	30	11	16	25	15	11
24	33	24	38	28	34	22	16	12	24	18	31	29	12	23
11	28	38	15	20	11	33	35	30	16	14	31	11	39	15
39	15	28	27	32	13	28	35	15	11	24	31	38	35	27
35	37	25	31	28	13	26	25	26	20	20	37	39	20	16
24	25	36	11	39	26	30	29	30	14	37	24	39	14	40
40	16	19	17	33	29	34	33	28	25	16	16	13	32	14
24	21	37	38	27	12	38	28	29	23	29	33	29	24	11
3	4	5	6	7	8	9	10	11	12	13	14	15	1	2
6	7	8	9	10	11	12	13	14	15	5	3	4	1	2
4	3	5	10	11	12	13	14	15	1	2	6	7	8	9
6	7	8	2	3	4	1	9	5	10	11	12	13	14	15
12	13	14	15	1	2	3	4	5	6	7	8	9	10	11
4	8	9	10	11	12	13	14	15	1	2	3	5	6	7
4	1	3	2	10	11	12	13	14	15	5	6	7	8	9
15	1	2	3	4	5	6	7	8	9	10	11	12	13	14
5	4	6	7	8	9	10	11	12	13	14	15	1	2	3
11	2	1	12	13	14	15	3	4	5	6	7	8	9	10
8	9	10	11	12	13	14	15	1	2	3	4	5	6	7
3	2	1	9	10	11	12	13	14	15	4	5	6	7	8
5	4	2	1	3	14	15	6	7	8	9	10	11	12	13
1	2	13	14	15	3	4	5	6	7	8	9	10	11	12
13	12	8	9	10	11	14	15	1	2	3	4	5	6	7
2	1	3	4	5	6	7	8	9	10	11	12	13	14	15
11	12	13	14	15	10	9	1	2	3	4	5	6	7	8
13	1	15	14	8	9	10	11	12	2	3	4	5	6	7
1	2	3	10	11	12	13	14	15	4	5	6	7	8	9
2	3	1	4	5	6	7	8	9	10	11	12	13	14	15
1	5	6	3	2	4	7	14	15	8	9	10	11	12	13
6	3	1	5	2	7	4	14	15	8	9	10	11	12	13
2	5	6	1	4	7	3	8	9	10	11	12	13	14	15
3	5	4	2	1	9	10	11	12	13	14	15	6	7	8
3	4	5	6	7	8	9	10	11	12	13	14	15	1	2
2	1	7	8	9	10	11	12	13	14	15	3	4	5	6
2	3	4	5	6	7	8	9	10	11	12	13	14	15	1
2	3	4	5	6	7	8	9	10	11	12	13	14	15	1
1	12	13	9	10	11	14	15	2	3	4	5	6	7	8
2	1	6	3	7	8	9	10	11	12	13	14	15	4	5
