30	15
13	40	34	30	24	17	22	27	11	16	37	29	33	37	39
35	29	29	11	40	32	13	13	18	25	17	22	16	17	31
25	34	21	28	17	24	22	20	11	20	36	39	14	40	38
16	15	17	19	28	19	15	18	28	25	33	12	18	28	21
27	19	17	31	22	35	35	26	13	29	38	39	25	40	29
21	14	37	24	37	31	28	36	11	29	29	19	30	38	37
13	38	12	35	12	24	21	34	19	40	22	32	11	15	15
16	21	37	14	16	40	31	17	32	24	28	18	12	12	24
28	20	34	31	34	14	16	34	13	30	28	35	15	31	39
35	21	11	30	25	15	22	17	15	24	18	35	29	32	20
20	37	35	26	15	13	29	25	29	31	13	21	30	19	32
26	25	26	17	27	39	33	25	12	37	25	26	15	18	26
15	33	31	38	39	34	16	28	23	37	13	24	38	14	21
37	21	38	31	18	32	30	31	33	20	27	18	15	31	38
13	15	26	14	28	35	12	18	22	18	32	32	12	38	23
33	28	12	11	39	35	32	29	20	17	25	14	20	20	35
19	34	35	11	33	11	22	30	27	15	19	20	21	39	22
19	14	22	20	16	15	27	15	35	18	32	30	40	25	25
28	27	28	18	15	17	20	21	40	17	37	34	33	36	30
18	31	37	15	37	11	16	22	25	12	15	20	36	12	32
14	23	38	23	26	23	37	16	37	33	22	14	15	13	20
22	40	27	38	36	23	24	38	20	11	32	28	19	29	25
39	25	25	16	33	30	24	26	31	29	20	14	26	36	15
38	31	40	17	22	13	13	31	35	34	11	11	12	29	24
38	20	21	11	35	40	32	24	16	33	30	25	35	15	15
39	17	32	14	32	20	39	35	24	26	39	12	29	11	16
38	34	39	13	19	34	39	21	33	33	15	31	33	39	26
12	26	38	28	16	13	13	30	26	34	38	14	30	35	18
18	19	32	25	36	27	26	18	14	28	37	26	37	26	19
25	31	23	36	15	16	35	32	17	14	21	20	38	30	36
14	7	1	2	9	11	6	12	8	3	4	10	15	13	5
10	12	5	3	8	2	6	7	15	4	1	11	14	13	9
13	1	2	11	4	6	9	7	15	5	3	8	14	10	12
12	1	5	10	6	3	13	7	8	9	14	11	15	4	2
0	1	8	15	4	3	6	2	7	5	10	9	12	14	11
11	1	8	12	15	5	10	7	2	4	3	14	9	13	6
10	1	4	3	12	8	6	2	7	9	11	5	15	13	14
8	15	2	4	13	5	6	14	3	1	10	11	12	9	7
10	1	7	15	8	2	9	3	4	6	5	11	12	13	14
11	1	5	2	4	9	12	3	8	14	7	15	10	13	6
2	1	13	3	4	5	15	12	8	10	9	11	6	7	14
15	1	5	2	13	10	6	7	8	12	14	11	3	4	9
13	6	2	3	15	9	1	8	14	5	4	7	12	10	11
2	1	11	5	3	9	6	7	8	4	10	13	12	15	14
8	2	3	14	4	11	9	7	15	12	5	10	6	13	1
10	14	1	7	13	15	6	2	8	9	4	11	12	5	3
7	1	15	3	8	14	4	2	10	5	6	11	12	13	9
6	5	13	1	4	15	3	14	12	8	10	7	2	9	11
0	12	14	1	3	15	7	8	5	9	10	2	4	13	11
3	1	15	11	4	6	5	7	13	2	14	10	8	9	12
8	7	12	3	15	4	6	2	10	9	1	11	5	13	14
0	1	2	3	4	5	15	11	6	9	10	8	12	13	14
9	8	2	6	11	5	3	7	4	1	15	14	13	10	12
10	15	2	3	4	7	1	5	9	14	13	6	12	11	8
0	3	13	14	4	5	12	10	11	6	9	7	1	8	2
9	1	2	3	11	5	13	7	4	14	6	8	12	10	15
0	2	12	3	4	5	14	10	8	9	7	15	6	13	1
0	1	2	3	15	5	6	10	8	14	4	13	12	11	7
2	4	3	14	7	5	6	1	8	9	10	11	15	13	12
0	1	4	3	6	14	2	7	8	9	12	11	13	5	15
