10	10
13	13	20	20	38	24	40	21	11	17
33	13	38	23	21	31	36	17	12	11
16	33	11	11	29	27	30	34	16	20
13	26	24	30	33	22	19	31	39	39
40	29	13	20	36	12	13	28	28	32
28	24	39	13	40	17	21	16	37	27
17	25	17	17	32	36	39	40	40	34
40	34	36	15	24	12	12	26	23	25
15	30	25	19	12	18	16	40	20	32
27	33	38	33	17	31	28	11	36	15
8	10	9	2	3	4	5	6	7	1
9	3	2	1	10	4	5	6	7	8
1	2	3	4	5	8	9	6	10	7
5	8	9	10	1	2	3	6	7	4
6	7	5	1	8	9	10	2	3	4
2	3	10	1	7	8	9	4	5	6
3	2	1	7	8	9	10	4	5	6
1	5	6	2	10	7	8	9	3	4
3	8	7	6	2	1	9	10	4	5
4	1	9	10	8	7	5	6	2	3
