100	5
22	11	20	9	2
1	13	1	4	2
18	4	18	8	20
1	22	2	18	4
18	19	1	10	1
22	1	1	6	5
17	10	19	1	1
3	15	1	6	1
15	1	7	10	3
2	30	5	1	14
21	1	1	24	13
10	5	20	2	10
13	4	29	1	2
1	16	10	20	7
18	1	1	9	20
17	3	17	4	6
17	11	8	13	3
19	1	10	20	1
16	12	9	15	22
24	1	15	6	12
1	39	1	11	34
15	19	11	5	28
5	21	4	9	1
13	25	9	15	1
1	1	1	6	15
13	1	20	14	19
1	13	11	2	13
4	10	3	8	11
10	24	1	15	6
3	1	1	33	23
1	24	24	1	10
14	23	19	11	10
4	17	9	1	1
10	13	9	8	1
1	19	1	1	14
12	20	15	6	1
12	9	1	4	8
7	15	17	11	19
7	8	17	12	22
18	32	1	6	2
8	1	10	16	16
12	1	1	4	17
30	10	5	8	10
5	1	5	11	26
12	23	5	8	8
12	27	15	21	11
4	20	24	13	7
1	3	2	21	9
7	1	6	19	6
1	15	1	1	12
18	14	1	11	5
1	1	1	1	3
8	1	15	20	24
11	1	1	1	1
1	5	21	3	2
8	9	1	11	25
8	3	21	1	12
9	1	22	6	1
1	16	6	15	13
1	1	1	16	2
1	26	15	1	6
6	13	15	21	1
29	4	1	14	23
18	3	21	20	1
20	2	11	10	19
1	12	1	1	22
34	2	9	11	7
8	11	3	16	17
5	26	1	10	19
10	16	20	20	11
18	2	9	5	26
10	26	15	9	19
21	19	18	27	21
10	14	1	25	18
6	9	11	8	19
1	24	6	15	26
19	6	1	10	1
1	21	18	1	13
12	1	9	1	17
1	20	1	5	23
7	15	3	3	6
3	11	27	26	6
14	15	1	26	12
19	29	13	3	13
16	8	6	5	5
18	19	14	11	17
11	20	1	1	1
1	7	8	16	24
5	5	1	10	16
17	1	3	12	4
17	7	15	5	4
4	1	4	1	25
1	1	3	19	10
15	1	1	20	20
17	2	2	4	10
11	24	2	1	25
1	13	11	1	4
13	1	21	4	1
1	1	5	18	11
1	6	18	26	4
5	2	3	1	4
1	5	3	2	4
2	3	4	1	5
3	1	2	4	5
5	1	4	3	2
2	1	5	4	3
2	1	5	4	3
4	5	2	3	1
1	2	5	3	4
4	1	5	3	2
5	2	4	1	3
4	1	3	2	5
3	1	2	5	4
4	2	1	5	3
2	4	5	3	1
4	5	2	3	1
2	1	5	4	3
5	4	1	3	2
4	3	5	1	2
3	1	4	5	2
3	2	5	4	1
2	4	5	1	3
4	1	3	2	5
1	3	4	5	2
5	4	2	3	1
4	2	5	3	1
5	1	4	2	3
3	4	5	1	2
2	3	1	5	4
3	5	1	2	4
3	1	2	4	5
3	2	1	4	5
5	3	1	2	4
2	4	1	3	5
3	4	1	5	2
1	2	5	3	4
2	4	1	3	5
5	1	4	2	3
5	3	1	2	4
5	4	2	3	1
2	4	5	3	1
5	4	3	2	1
4	3	2	5	1
4	2	3	5	1
4	1	5	3	2
5	1	2	4	3
1	5	4	3	2
2	1	5	3	4
4	1	2	3	5
1	3	5	2	4
3	2	5	1	4
1	4	3	2	5
5	4	3	2	1
4	1	5	3	2
4	1	5	2	3
3	2	1	4	5
1	5	3	4	2
5	3	2	1	4
4	5	2	3	1
5	1	2	3	4
4	1	5	2	3
1	3	2	5	4
1	5	4	2	3
1	3	4	5	2
3	4	2	1	5
2	5	4	1	3
1	4	2	5	3
5	1	2	4	3
4	5	1	2	3
3	2	4	5	1
2	1	5	4	3
2	1	4	3	5
1	2	4	3	5
2	5	4	1	3
4	1	3	5	2
5	1	2	4	3
4	1	5	3	2
2	5	1	3	4
4	1	3	2	5
1	3	5	4	2
3	1	2	5	4
2	3	5	4	1
1	5	3	2	4
4	5	2	3	1
5	2	4	3	1
1	3	2	4	5
1	3	2	5	4
5	4	2	3	1
3	2	5	4	1
4	5	1	3	2
5	3	4	1	2
5	4	1	3	2
5	3	1	2	4
4	2	5	3	1
5	4	1	3	2
3	1	5	2	4
1	3	5	2	4
4	2	1	3	5
4	5	1	3	2
1	3	2	4	5
