10	10
31	24	34	38	21	26	37	39	22	24
30	24	20	15	13	29	24	19	37	30
14	17	34	19	24	19	13	38	37	32
29	39	39	28	34	30	13	16	20	22
17	35	37	24	11	15	13	22	13	16
22	34	28	16	29	31	18	26	29	36
37	19	28	11	34	17	17	17	34	14
16	20	34	36	24	12	32	16	27	18
15	23	24	22	36	15	11	37	17	20
24	38	25	36	34	29	21	31	18	16
4	10	9	5	7	2	1	3	8	6
9	1	3	8	6	4	2	10	5	7
6	10	1	9	7	4	3	8	5	2
3	6	10	4	9	2	8	1	5	7
4	5	1	6	3	2	7	9	8	10
9	3	8	6	7	4	10	1	5	2
1	10	8	2	4	5	7	3	9	6
1	9	4	6	5	2	7	8	10	3
8	3	1	5	4	9	7	6	2	10
2	8	3	5	4	7	10	9	6	1
