Machine,Job,Start,Finish,Delta
8,Part9_0,0,69,69
4,Part8_0,0,33,33
3,Part6_0,0,16,16
1,Part3_0,0,87,87
2,Part5_0,0,35,35
4,Part1_0,33,88,55
2,Part4_0,35,133,98
3,Part3_0,87,156,69
1,Part0_0,87,108,21
6,Part0_0,108,179,71
1,Part7_0,108,153,45
2,Part6_0,133,192,59
0,Part7_0,153,240,87
3,Part2_0,156,190,34
9,Part0_0,179,195,16
3,Part5_0,190,266,76
2,Part1_0,192,223,31
9,Part9_0,195,276,81
2,Part8_0,223,260,37
0,Part4_0,240,284,44
8,Part8_0,260,326,66
2,Part2_0,260,324,64
5,Part5_0,266,294,28
3,Part7_0,266,307,41
0,Part6_0,284,330,46
9,Part5_0,294,304,10
5,Part1_0,294,392,98
4,Part7_0,307,327,20
2,Part9_0,324,418,94
8,Part2_0,326,388,62
8,Part0_0,388,440,52
1,Part2_0,388,407,19
9,Part1_0,392,471,79
5,Part4_0,392,417,25
1,Part6_0,407,498,91
6,Part4_0,417,492,75
5,Part8_0,417,450,33
4,Part9_0,418,514,96
2,Part3_0,418,505,87
3,Part8_0,450,476,26
0,Part1_0,471,483,12
6,Part7_0,492,546,54
9,Part6_0,498,541,43
7,Part3_0,505,543,38
4,Part5_0,514,575,61
3,Part9_0,514,541,27
0,Part9_0,541,610,69
8,Part3_0,543,567,24
7,Part0_0,543,569,26
9,Part7_0,546,589,43
8,Part6_0,567,617,50
7,Part4_0,569,612,43
2,Part0_0,569,603,34
6,Part5_0,575,584,9
4,Part2_0,575,667,92
9,Part3_0,589,672,83
0,Part0_0,610,663,53
1,Part4_0,612,661,49
7,Part8_0,612,620,8
8,Part7_0,617,631,14
7,Part1_0,620,686,66
5,Part7_0,631,640,9
2,Part7_0,640,679,39
0,Part5_0,663,758,95
4,Part4_0,667,763,96
6,Part3_0,672,713,41
9,Part2_0,672,751,79
7,Part9_0,686,731,45
1,Part1_0,686,728,42
6,Part6_0,713,765,52
1,Part8_0,728,756,28
7,Part2_0,751,794,43
8,Part5_0,758,793,35
0,Part3_0,758,851,93
4,Part0_0,763,784,21
9,Part4_0,763,840,77
5,Part6_0,765,824,59
3,Part0_0,784,839,55
1,Part5_0,793,800,7
8,Part1_0,793,870,77
6,Part2_0,794,848,54
7,Part5_0,800,895,95
4,Part6_0,824,852,28
3,Part4_0,840,857,17
6,Part9_0,848,926,78
0,Part2_0,851,934,83
5,Part3_0,851,928,77
8,Part4_0,870,949,79
7,Part7_0,895,966,71
6,Part8_0,926,1015,89
1,Part9_0,926,1000,74
4,Part3_0,928,988,60
5,Part0_0,928,1023,95
7,Part6_0,966,993,27
6,Part1_0,1015,1092,77
9,Part8_0,1015,1057,42
5,Part2_0,1023,1060,37
0,Part8_0,1057,1135,78
5,Part9_0,1060,1144,84
3,Part1_0,1092,1131,39
