Time,Event,Part,Process,Machine
0,Started,Part3_0,Process1,M1
0,Started,Part8_0,Process4,M4
0,Started,Part6_0,Process3,M3
0,Started,Part5_0,Process2,M2
0,Started,Part9_0,Process8,M8
16,Finished,Part6_0,Process3,M3
33,Finished,Part8_0,Process4,M4
33,Started,Part1_0,Process4,M4
35,Finished,Part5_0,Process2,M2
35,Started,Part4_0,Process2,M2
69,Finished,Part9_0,Process8,M8
87,Finished,Part3_0,Process1,M1
87,Started,Part0_0,Process1,M1
87,Started,Part3_0,Process3,M3
88,Finished,Part1_0,Process4,M4
108,Finished,Part0_0,Process1,M1
108,Started,Part7_0,Process1,M1
108,Started,Part0_0,Process6,M6
133,Finished,Part4_0,Process2,M2
133,Started,Part6_0,Process2,M2
153,Finished,Part7_0,Process1,M1
153,Started,Part7_0,Process0,M0
156,Finished,Part3_0,Process3,M3
156,Started,Part2_0,Process3,M3
179,Finished,Part0_0,Process6,M6
179,Started,Part0_0,Process9,M9
190,Finished,Part2_0,Process3,M3
190,Started,Part5_0,Process3,M3
192,Finished,Part6_0,Process2,M2
192,Started,Part1_0,Process2,M2
195,Finished,Part0_0,Process9,M9
195,Started,Part9_0,Process9,M9
223,Finished,Part1_0,Process2,M2
223,Started,Part8_0,Process2,M2
240,Finished,Part7_0,Process0,M0
240,Started,Part4_0,Process0,M0
260,Finished,Part8_0,Process2,M2
260,Started,Part2_0,Process2,M2
260,Started,Part8_0,Process8,M8
266,Finished,Part5_0,Process3,M3
266,Started,Part7_0,Process3,M3
266,Started,Part5_0,Process5,M5
276,Finished,Part9_0,Process9,M9
284,Finished,Part4_0,Process0,M0
284,Started,Part6_0,Process0,M0
294,Finished,Part5_0,Process5,M5
294,Started,Part1_0,Process5,M5
294,Started,Part5_0,Process9,M9
304,Finished,Part5_0,Process9,M9
307,Finished,Part7_0,Process3,M3
307,Started,Part7_0,Process4,M4
324,Finished,Part2_0,Process2,M2
324,Started,Part9_0,Process2,M2
326,Finished,Part8_0,Process8,M8
326,Started,Part2_0,Process8,M8
327,Finished,Part7_0,Process4,M4
330,Finished,Part6_0,Process0,M0
388,Finished,Part2_0,Process8,M8
388,Started,Part0_0,Process8,M8
388,Started,Part2_0,Process1,M1
392,Finished,Part1_0,Process5,M5
392,Started,Part4_0,Process5,M5
392,Started,Part1_0,Process9,M9
407,Finished,Part2_0,Process1,M1
407,Started,Part6_0,Process1,M1
417,Finished,Part4_0,Process5,M5
417,Started,Part8_0,Process5,M5
417,Started,Part4_0,Process6,M6
418,Finished,Part9_0,Process2,M2
418,Started,Part3_0,Process2,M2
418,Started,Part9_0,Process4,M4
440,Finished,Part0_0,Process8,M8
450,Finished,Part8_0,Process5,M5
450,Started,Part8_0,Process3,M3
471,Finished,Part1_0,Process9,M9
471,Started,Part1_0,Process0,M0
476,Finished,Part8_0,Process3,M3
483,Finished,Part1_0,Process0,M0
492,Finished,Part4_0,Process6,M6
492,Started,Part7_0,Process6,M6
498,Finished,Part6_0,Process1,M1
498,Started,Part6_0,Process9,M9
505,Finished,Part3_0,Process2,M2
505,Started,Part3_0,Process7,M7
514,Finished,Part9_0,Process4,M4
514,Started,Part5_0,Process4,M4
514,Started,Part9_0,Process3,M3
541,Finished,Part6_0,Process9,M9
541,Finished,Part9_0,Process3,M3
541,Started,Part9_0,Process0,M0
543,Finished,Part3_0,Process7,M7
543,Started,Part0_0,Process7,M7
543,Started,Part3_0,Process8,M8
546,Finished,Part7_0,Process6,M6
546,Started,Part7_0,Process9,M9
567,Finished,Part3_0,Process8,M8
567,Started,Part6_0,Process8,M8
569,Finished,Part0_0,Process7,M7
569,Started,Part4_0,Process7,M7
569,Started,Part0_0,Process2,M2
575,Finished,Part5_0,Process4,M4
575,Started,Part2_0,Process4,M4
575,Started,Part5_0,Process6,M6
584,Finished,Part5_0,Process6,M6
589,Finished,Part7_0,Process9,M9
589,Started,Part3_0,Process9,M9
603,Finished,Part0_0,Process2,M2
610,Finished,Part9_0,Process0,M0
610,Started,Part0_0,Process0,M0
612,Finished,Part4_0,Process7,M7
612,Started,Part8_0,Process7,M7
612,Started,Part4_0,Process1,M1
617,Finished,Part6_0,Process8,M8
617,Started,Part7_0,Process8,M8
620,Finished,Part8_0,Process7,M7
620,Started,Part1_0,Process7,M7
631,Finished,Part7_0,Process8,M8
631,Started,Part7_0,Process5,M5
640,Finished,Part7_0,Process5,M5
640,Started,Part7_0,Process2,M2
661,Finished,Part4_0,Process1,M1
663,Finished,Part0_0,Process0,M0
663,Started,Part5_0,Process0,M0
667,Finished,Part2_0,Process4,M4
667,Started,Part4_0,Process4,M4
672,Finished,Part3_0,Process9,M9
672,Started,Part2_0,Process9,M9
672,Started,Part3_0,Process6,M6
679,Finished,Part7_0,Process2,M2
686,Finished,Part1_0,Process7,M7
686,Started,Part9_0,Process7,M7
686,Started,Part1_0,Process1,M1
713,Finished,Part3_0,Process6,M6
713,Started,Part6_0,Process6,M6
728,Finished,Part1_0,Process1,M1
728,Started,Part8_0,Process1,M1
731,Finished,Part9_0,Process7,M7
751,Finished,Part2_0,Process9,M9
751,Started,Part2_0,Process7,M7
756,Finished,Part8_0,Process1,M1
758,Finished,Part5_0,Process0,M0
758,Started,Part3_0,Process0,M0
758,Started,Part5_0,Process8,M8
763,Finished,Part4_0,Process4,M4
763,Started,Part0_0,Process4,M4
763,Started,Part4_0,Process9,M9
765,Finished,Part6_0,Process6,M6
765,Started,Part6_0,Process5,M5
784,Finished,Part0_0,Process4,M4
784,Started,Part0_0,Process3,M3
793,Finished,Part5_0,Process8,M8
793,Started,Part1_0,Process8,M8
793,Started,Part5_0,Process1,M1
794,Finished,Part2_0,Process7,M7
794,Started,Part2_0,Process6,M6
800,Finished,Part5_0,Process1,M1
800,Started,Part5_0,Process7,M7
824,Finished,Part6_0,Process5,M5
824,Started,Part6_0,Process4,M4
839,Finished,Part0_0,Process3,M3
840,Finished,Part4_0,Process9,M9
840,Started,Part4_0,Process3,M3
848,Finished,Part2_0,Process6,M6
848,Started,Part9_0,Process6,M6
851,Finished,Part3_0,Process0,M0
851,Started,Part2_0,Process0,M0
851,Started,Part3_0,Process5,M5
852,Finished,Part6_0,Process4,M4
857,Finished,Part4_0,Process3,M3
870,Finished,Part1_0,Process8,M8
870,Started,Part4_0,Process8,M8
895,Finished,Part5_0,Process7,M7
895,Started,Part7_0,Process7,M7
926,Finished,Part9_0,Process6,M6
926,Started,Part8_0,Process6,M6
926,Started,Part9_0,Process1,M1
928,Finished,Part3_0,Process5,M5
928,Started,Part0_0,Process5,M5
928,Started,Part3_0,Process4,M4
934,Finished,Part2_0,Process0,M0
949,Finished,Part4_0,Process8,M8
966,Finished,Part7_0,Process7,M7
966,Started,Part6_0,Process7,M7
988,Finished,Part3_0,Process4,M4
993,Finished,Part6_0,Process7,M7
1000,Finished,Part9_0,Process1,M1
1015,Finished,Part8_0,Process6,M6
1015,Started,Part1_0,Process6,M6
1015,Started,Part8_0,Process9,M9
1023,Finished,Part0_0,Process5,M5
1023,Started,Part2_0,Process5,M5
1057,Finished,Part8_0,Process9,M9
1057,Started,Part8_0,Process0,M0
1060,Finished,Part2_0,Process5,M5
1060,Started,Part9_0,Process5,M5
1092,Finished,Part1_0,Process6,M6
1092,Started,Part1_0,Process3,M3
1131,Finished,Part1_0,Process3,M3
1135,Finished,Part8_0,Process0,M0
1144,Finished,Part9_0,Process5,M5
