num_job,num_machine,mean,std,seed,I_b,I_f,baseline,RANDOM_best,RANDOM_time,RUBI_best,RUBI_time,MoRUBI_best,MoRUBI_time,SPT_best,SPT_time,LPT_best,LPT_time,GT_best,GT_time
10,10,30,10,0,0.4111111111111111,0.3827160493827161,808.66,659,1.1983013153076172,529,2.5088210105895996,525,2.672269821166992,515,2.5447773933410645,551,2.6520988941192627,543,2.825521469116211
10,10,30,10,0,0.37777777777777777,0.4444444444444444,837.28,671,1.21817946434021,523,2.787843942642212,534,2.46986722946167,638,2.40432071685791,568,2.3420982360839844,549,2.4273929595947266
10,10,30,10,0,0.3888888888888889,0.4444444444444444,815.36,608,1.3884210586547852,521,2.2806124687194824,501,2.426487684249878,580,2.242932081222534,572,2.2980575561523438,549,2.3836441040039062
10,10,30,10,0,0.3666666666666666,0.4567901234567901,849.36,695,1.1154704093933105,550,2.2765920162200928,547,2.2958967685699463,598,2.2340340614318848,575,2.2917349338531494,562,2.3702824115753174
10,10,30,10,0,0.38888888888888895,0.5061728395061729,814.25,623,1.0983107089996338,534,2.28300142288208,540,2.3237202167510986,560,2.3419511318206787,534,2.3402345180511475,577,2.4438023567199707
10,10,30,10,0,0.38888888888888895,0.5185185185185186,817.75,602,1.240206003189087,529,2.4631752967834473,527,2.274073362350464,560,2.300422430038452,545,2.303600788116455,545,2.3127858638763428
10,10,30,10,0,0.38888888888888895,0.54320987654321,818.49,625,1.1021671295166016,499,2.2715518474578857,505,2.4011759757995605,504,2.357266902923584,509,2.393641233444214,545,2.5246267318725586
10,10,30,10,0,0.3777777777777778,0.5308641975308642,821.87,659,1.09909987449646,532,2.22639799118042,537,2.2809667587280273,507,2.6254818439483643,534,2.3627283573150635,532,2.3209543228149414
10,10,30,10,0,0.3777777777777778,0.5308641975308642,821.87,659,1.1152865886688232,532,2.2878506183624268,537,2.270115852355957,507,2.1933205127716064,534,2.2888705730438232,532,2.434274196624756
10,10,30,10,0,0.41111111111111115,0.6049382716049383,826.45,650,1.101588487625122,536,2.3188295364379883,538,2.2555582523345947,553,2.2951958179473877,559,2.2783801555633545,558,2.3843026161193848
10,10,30,10,0,0.4333333333333333,0.5925925925925926,842.15,670,1.1337394714355469,540,2.345519781112671,541,2.2821404933929443,693,2.2847609519958496,648,2.3543126583099365,545,2.3379037380218506
10,10,30,10,0,0.4222222222222222,0.6049382716049383,840.25,684,1.0718626976013184,531,2.27211856842041,547,2.3400211334228516,647,2.274360179901123,630,2.2656843662261963,563,2.312560796737671
10,10,30,10,0,0.45555555555555555,0.6419753086419753,878.11,698,1.1391384601593018,596,2.2842555046081543,589,2.322246789932251,626,2.2577707767486572,624,2.291851282119751,624,2.4113247394561768
10,10,30,10,0,0.3888888888888889,0.6666666666666666,815.08,623,1.1229097843170166,545,2.337571144104004,533,2.4064228534698486,534,2.336481809616089,527,2.3770062923431396,570,2.4858007431030273
10,10,30,10,0,0.3333333333333333,0.7037037037037037,822.6,650,1.0998940467834473,506,2.2279272079467773,507,2.2761642932891846,550,2.2675743103027344,553,2.5514652729034424,536,2.3635237216949463
10,10,30,10,0,0.34444444444444444,0.7037037037037037,844.49,579,1.1161720752716064,497,2.4019899368286133,520,2.337923526763916,556,2.269697904586792,547,2.2900288105010986,560,2.5041697025299072
10,10,30,10,0,0.3222222222222223,0.6543209876543209,829.27,665,1.1191966533660889,514,2.2754063606262207,516,2.3007259368896484,599,2.228468418121338,590,2.6857733726501465,559,3.0783135890960693
10,10,30,10,0,0.3555555555555555,0.654320987654321,856.82,695,1.2707176208496094,550,2.9127566814422607,553,2.83791446685791,590,2.571972131729126,597,2.6423821449279785,559,2.498197317123413
10,10,30,10,0,0.4,0.7901234567901234,800.0,614,1.2256276607513428,499,2.5876028537750244,486,2.541046380996704,541,2.2656302452087402,559,2.3436975479125977,544,2.4372339248657227
10,10,30,10,0,0.4444444444444443,0.8024691358024691,898.37,720,1.1161599159240723,580,2.413933277130127,585,2.3536038398742676,663,2.30896258354187,569,2.252244710922241,603,2.529419183731079
10,10,30,10,1,0.35555555555555557,0.4320987654320987,826.43,661,1.175173282623291,506,2.337604284286499,501,2.2893943786621094,632,2.50077748298645,560,2.4865033626556396,566,2.578090190887451
10,10,30,10,1,0.35555555555555557,0.4444444444444444,824.22,665,1.1230778694152832,496,2.4071130752563477,499,2.5470690727233887,625,2.4096646308898926,548,2.334331750869751,553,2.4975810050964355
10,10,30,10,1,0.35555555555555557,0.41975308641975306,816.9,646,1.0979759693145752,528,2.3185646533966064,524,2.5759739875793457,606,2.324960231781006,587,2.309063673019409,574,2.358909845352173
10,10,30,10,1,0.3888888888888889,0.3950617283950617,825.0,649,1.104844331741333,529,2.2968525886535645,521,2.3901634216308594,601,2.4338538646698,561,2.3101446628570557,553,2.3400440216064453
10,10,30,10,1,0.38888888888888895,0.5061728395061729,814.25,623,1.1059496402740479,534,2.315601348876953,540,2.348881483078003,560,2.5981810092926025,534,2.304988145828247,577,2.3862111568450928
10,10,30,10,1,0.38888888888888895,0.5185185185185186,817.75,602,1.1095709800720215,529,2.2368388175964355,527,2.3280186653137207,560,2.286332607269287,545,2.3062586784362793,545,2.3357625007629395
10,10,30,10,1,0.38888888888888895,0.54320987654321,818.49,625,1.1114144325256348,499,2.248105049133301,505,2.3122050762176514,504,2.2729275226593018,509,2.410358190536499,545,2.4887046813964844
10,10,30,10,1,0.3777777777777778,0.5308641975308642,821.87,659,1.2949590682983398,532,2.373957872390747,537,2.2984960079193115,507,2.286436080932617,534,2.2904741764068604,532,2.355559825897217
10,10,30,10,1,0.3777777777777778,0.5308641975308642,821.87,659,1.1145429611206055,532,2.2393648624420166,537,2.420650005340576,507,2.2392194271087646,534,2.4144201278686523,532,2.33894681930542
10,10,30,10,1,0.41111111111111115,0.6049382716049383,826.45,650,1.1098566055297852,536,2.3048620223999023,538,2.2913401126861572,553,2.4391376972198486,559,2.448892116546631,558,2.337676763534546
10,10,30,10,1,0.4333333333333333,0.5925925925925926,842.15,670,1.158097267150879,540,2.2758805751800537,541,2.296856641769409,693,2.2804253101348877,648,2.27410888671875,545,2.327383279800415
10,10,30,10,1,0.4222222222222222,0.6049382716049383,840.25,684,1.1084632873535156,531,2.272533655166626,547,2.288062810897827,647,2.2534449100494385,630,2.275285243988037,563,2.346092700958252
10,10,30,10,1,0.45555555555555555,0.6419753086419753,878.11,698,1.0922558307647705,596,2.3111884593963623,589,2.3405921459198,626,2.481250047683716,624,2.287118911743164,624,2.3827714920043945
10,10,30,10,1,0.3888888888888889,0.6666666666666666,815.08,623,1.098459005355835,545,2.336268186569214,533,2.388270378112793,534,2.4780852794647217,527,2.3907523155212402,570,2.474472761154175
10,10,30,10,1,0.3333333333333333,0.7037037037037037,822.6,650,1.1165146827697754,506,2.267843723297119,507,2.457834482192993,550,2.4562625885009766,553,2.331871747970581,536,2.3773086071014404
10,10,30,10,1,0.34444444444444444,0.7037037037037037,844.49,579,1.0776948928833008,497,2.2854270935058594,520,2.2687571048736572,556,2.230624198913574,547,2.3080248832702637,560,2.3828749656677246
10,10,30,10,1,0.3222222222222223,0.6543209876543209,829.27,665,1.1135449409484863,514,2.2691237926483154,516,2.4067461490631104,599,2.280663013458252,590,2.337085008621216,559,2.3589165210723877
10,10,30,10,1,0.3555555555555555,0.654320987654321,856.82,695,1.1221179962158203,550,2.301478862762451,553,2.2720139026641846,590,2.284752607345581,597,2.263918161392212,559,2.355208158493042
10,10,30,10,1,0.4,0.7901234567901234,800.0,614,1.1005175113677979,499,2.2667572498321533,486,2.251966714859009,541,2.258419990539551,559,2.3138070106506348,544,2.344243049621582
10,10,30,10,1,0.4444444444444443,0.8024691358024691,898.37,720,1.1280097961425781,580,2.273887872695923,585,2.2740707397460938,663,2.2814178466796875,569,2.2369136810302734,603,2.36484432220459
