num_job,num_machine,mean,std,seed,baseline,RANDOM_best,RANDOM_time,RUBI_best,RUBI_time,MoRUBI_best,MoRUBI_time,SPT_best,SPT_time,LPT_best,LPT_time,GT_best,GT_time
10,10,30,10,0,826.43,661,1.1194500923156738,506,2.2764902114868164,501,2.355067729949951,632,2.262943744659424,560,2.3074545860290527,566,2.379934549331665
15,10,30,10,0,1090.77,911,1.430227518081665,728,2.971940755844116,718,2.9516232013702393,710,2.8215620517730713,760,2.9116010665893555,727,3.1346945762634277
20,10,30,10,0,1309.09,1102,1.7770283222198486,860,3.6486294269561768,868,3.682729959487915,814,3.632962465286255,945,3.6369290351867676,894,4.044048547744751
25,10,30,10,0,1504.6,1276,2.1501572132110596,1018,4.550118684768677,1034,4.589586973190308,940,4.42065167427063,1163,4.663003444671631,1031,5.1882312297821045
30,10,30,10,0,1713.73,1475,2.6393349170684814,1178,5.353407859802246,1176,5.259371042251587,1124,5.19451117515564,1143,5.2686522006988525,1144,6.267947196960449
35,10,30,10,0,1898.49,1560,2.974437952041626,1308,5.96943998336792,1301,6.107617139816284,1223,6.037609338760376,1423,6.213820219039917,1276,7.5191650390625
40,10,30,10,0,2159.61,1885,3.2097249031066895,1638,6.822920560836792,1610,6.773528575897217,1369,6.801115989685059,1524,6.701111078262329,1516,8.647262811660767
45,10,30,10,0,2275.6,1937,3.8000404834747314,1584,7.893416166305542,1559,7.848861932754517,1462,7.65542459487915,1556,7.872097730636597,1534,10.268446445465088
50,10,30,10,0,2542.31,2155,4.2456934452056885,1869,8.678609848022461,1852,8.767059803009033,1731,8.210994243621826,1806,8.501945495605469,1750,11.31532335281372
10,10,30,10,1,834.92,666,1.1240127086639404,547,2.261317729949951,561,2.2925848960876465,563,2.3085384368896484,618,2.296779155731201,585,2.427990198135376
15,10,30,10,1,1055.28,884,1.4929115772247314,703,2.9359450340270996,691,3.0308380126953125,709,2.8982110023498535,678,2.9873909950256348,719,3.258467435836792
20,10,30,10,1,1354.09,1158,1.8114066123962402,922,3.811969757080078,940,3.796685218811035,847,3.663923740386963,942,3.7786755561828613,918,4.243349075317383
25,10,30,10,1,1515.79,1184,2.3392257690429688,1005,4.70108437538147,1007,4.657860040664673,943,4.654597759246826,991,4.734376907348633,1028,5.220500946044922
30,10,30,10,1,1756.28,1413,2.62546968460083,1270,5.37929892539978,1274,5.597898483276367,1073,5.157072067260742,1224,5.456132411956787,1164,6.291510343551636
35,10,30,10,1,1961.99,1686,3.1017422676086426,1391,6.488363981246948,1345,6.529644727706909,1287,6.337594032287598,1363,6.431201219558716,1325,7.798139333724976
40,10,30,10,1,2152.4,1810,3.173705577850342,1547,6.79919695854187,1549,6.76057767868042,1429,6.860330820083618,1452,6.755412578582764,1486,8.602669715881348
45,10,30,10,1,2387.44,2083,3.9817776679992676,1731,7.932647228240967,1718,7.823761463165283,1634,7.7584919929504395,1755,8.276643991470337,1680,10.417762041091919
50,10,30,10,1,2594.31,2308,4.2259697914123535,1848,8.711163997650146,1856,8.737187385559082,1718,8.533104658126831,1845,8.645745992660522,1827,11.483313083648682
10,10,30,10,2,803.67,631,1.1068077087402344,536,2.291722297668457,536,2.2878916263580322,620,2.247314214706421,598,2.2846262454986572,547,2.42836856842041
15,10,30,10,2,1050.19,823,1.4755163192749023,717,2.982877731323242,697,3.1589102745056152,637,2.9358925819396973,700,2.949646234512329,719,3.263171672821045
20,10,30,10,2,1326.94,1148,1.7871754169464111,919,3.91121244430542,918,3.6725592613220215,885,3.6060478687286377,895,3.5844430923461914,864,4.035879135131836
