num_job,num_machine,mean,std,seed,baseline,RANDOM_best,RANDOM_time,RUBI_best,RUBI_time,MoRUBI_best,MoRUBI_time,SPT_best,SPT_time,LPT_best,LPT_time,GT_best,GT_time
10,10,30,10,0,826.43,661,1.262862206,506,2.62631917,501,2.688013077,632,2.685705662,560,2.409484863,566,2.425274849
10,15,30,10,0,1100.46,872,1.645914316,742,3.558008909,730,3.421147585,817,3.450076103,777,3.442388296,779,3.599342346
10,20,30,10,0,1325.76,1047,2.172236204,871,4.540391207,855,4.689544678,840,4.640170574,949,4.40520072,877,4.62086606
10,25,30,10,0,1545.01,1311,2.728279352,1008,5.643221378,1015,5.65370822,993,5.761681318,1002,5.718652964,1053,5.84343338
10,30,30,10,0,1734.94,1507,3.271456242,1152,6.771062851,1158,6.965379953,1191,6.698668003,1266,6.814423084,1201,7.047556877
10,35,30,10,0,1918.66,1694,3.824593544,1322,8.147900343,1337,8.041984558,1295,8.007484674,1354,8.189835787,1365,9.116363764
10,40,30,10,0,2144.76,1901,4.342380047,1509,9.120750189,1488,9.160774469,1487,9.013659477,1467,8.851404667,1521,9.07161355
10,45,30,10,0,2323.26,2079,4.909985542,1614,10.47263432,1609,10.56994057,1588,9.976317167,1563,10.86018133,1620,10.69381022
10,10,30,10,1,834.92,666,1.117070675,547,2.316812992,561,2.321146011,563,2.29932642,618,2.253935814,585,2.364545107
10,15,30,10,1,1068.78,902,1.654725313,712,3.465701103,686,3.370639563,715,3.31098032,711,3.50807333,728,3.55444932
10,20,30,10,1,1333.83,1122,2.797439337,889,5.543559074,891,4.994438171,857,5.234400511,878,4.985893726,910,5.078976154
10,25,30,10,1,1535.68,1323,3.053338051,1017,6.136912584,1011,5.983138323,1025,6.396947145,1061,6.137211323,1041,6.464051008
10,30,30,10,1,1770.53,1574,3.734958649,1270,7.861112833,1253,8.165911436,1116,7.87494278,1186,7.332941771,1206,7.529313087
10,35,30,10,1,1952.3,1657,3.754095554,1356,7.745762587,1385,7.854716301,1251,7.635658979,1254,7.88713336,1349,8.049992323
10,40,30,10,1,2136.01,1847,4.211775064,1483,8.712489128,1453,8.783181667,1409,9.002603292,1517,8.932644606,1504,8.948051691
10,45,30,10,1,2337.05,2066,4.778026342,1626,9.929138899,1628,10.04610276,1589,10.1289084,1631,9.754071712,1644,10.30245733
10,10,30,10,2,803.67,631,1.103332043,536,2.260064125,536,2.28984499,620,2.304638863,598,2.259327412,547,2.372227192
10,15,30,10,2,1089.46,890,1.648331404,752,3.376433849,758,3.345579386,713,3.424064636,730,3.3688941,736,3.491330147
10,20,30,10,2,1311.84,1077,2.148043156,951,4.444973707,970,4.51166153,937,4.533076286,933,4.475753307,909,4.6769979
10,25,30,10,2,1468.82,1165,2.669808149,965,5.444264889,950,5.518269062,903,5.562197685,1006,5.600710154,1012,5.601882696
10,30,30,10,2,1677.22,1463,3.173520327,1107,6.749799967,1104,6.721853256,1183,6.787872314,1186,6.85023427,1146,6.851773024
10,35,30,10,2,1927.89,1701,3.768413544,1348,7.823387623,1297,7.967530489,1313,7.913168907,1384,7.947108507,1389,8.067000151
10,40,30,10,2,2158.95,1885,4.250249386,1483,8.791221619,1466,8.839740992,1572,8.785680294,1503,8.812749386,1452,9.018741131
10,45,30,10,2,2316.48,1961,4.776869297,1649,9.969203711,1630,10.13007522,1598,10.18483329,1550,10.01092649,1646,10.32184505
10,10,30,10,3,792.25,612,1.077348948,525,2.285189629,525,2.260748148,539,2.238428593,496,2.245367765,548,2.360757828
10,15,30,10,3,1043.52,824,1.629926205,694,3.385023355,702,3.400438309,724,3.416564941,679,3.394071579,704,3.444773197
10,20,30,10,3,1254.3,980,2.19706583,831,4.492249727,805,4.555367708,803,4.502826452,798,4.563452482,867,4.631016493
10,25,30,10,3,1537.22,1320,2.650431633,1069,5.535517216,1077,5.522665024,1052,5.582509041,1047,5.479630709,1077,5.643811226
10,30,30,10,3,1827,1591,3.248884439,1192,6.588261366,1192,6.623312473,1135,6.471523762,1257,6.537642717,1288,6.795311451
10,35,30,10,3,1928.61,1679,3.745811939,1381,7.830130577,1364,7.95730257,1304,7.755945444,1357,7.700760841,1341,8.128510475
10,40,30,10,3,2134.12,1837,4.397187948,1476,8.670466661,1479,8.783107519,1550,8.683537245,1440,8.868698359,1514,9.030952215
10,45,30,10,3,2372.03,2084,4.82007122,1733,10.15481186,1703,10.17919707,1624,9.974709988,1632,10.26737499,1676,10.55185175
10,10,30,10,4,842.24,670,1.114812851,555,2.316710949,552,2.297359705,562,2.296948195,618,2.26092124,585,2.38043189
10,15,30,10,4,1035.38,830,1.691165447,674,3.420326233,669,3.538927555,613,3.328397989,658,3.441434622,679,3.493425131
10,20,30,10,4,1306.64,1054,2.1739645,911,4.543160439,902,4.51590848,865,4.570375204,908,4.524074078,913,4.743580341
10,25,30,10,4,1500.53,1286,2.700947523,1032,5.585860491,1022,5.699980021,962,5.562123775,971,5.651578665,1042,5.878508806
10,30,30,10,4,1779.61,1579,3.269885063,1217,6.731731653,1241,6.8275702,1218,6.971717596,1189,7.00619173,1231,6.995573759
