20	20
100	97	95	91	98	97	98	92	99	100	97	97	97	99	98	94	92	96	100	94
93	90	97	95	95	99	96	96	98	92	95	98	91	92	100	97	90	98	93	100
91	90	93	92	93	92	99	92	91	90	91	99	99	90	97	92	96	93	97	98
92	96	97	100	97	99	92	97	95	93	90	95	94	93	98	99	95	98	100	96
97	90	94	96	98	94	98	91	99	95	94	92	93	94	97	96	96	98	90	93
95	96	100	91	91	96	90	100	98	97	95	97	96	98	94	94	90	97	92	91
100	98	98	91	93	91	93	96	97	100	94	90	97	93	100	97	99	96	96	99
93	100	92	97	96	97	99	94	93	90	95	90	99	95	97	95	99	100	98	92
94	92	93	90	93	96	99	90	93	94	98	96	100	93	97	93	99	91	94	98
93	90	92	94	100	96	91	99	90	99	93	91	92	93	92	99	100	95	92	97
99	95	96	95	100	99	99	96	98	95	94	94	96	92	92	91	93	97	94	90
95	97	93	98	95	100	99	91	95	94	93	99	95	96	96	91	90	95	92	90
95	98	95	97	98	100	99	99	90	93	97	90	94	97	97	94	91	93	90	97
97	95	91	95	93	99	93	90	99	97	96	91	97	99	96	93	100	100	100	97
92	97	98	99	91	92	99	90	96	98	95	97	95	98	91	92	93	90	95	95
96	96	90	99	95	95	93	95	100	99	91	91	99	100	100	98	91	99	91	90
96	90	90	92	98	99	90	92	99	100	91	95	93	95	97	100	93	96	99	95
98	93	96	100	100	94	94	92	98	100	95	97	100	96	92	98	94	92	96	91
90	94	99	90	97	99	90	92	93	90	90	91	97	98	92	98	93	96	94	99
99	98	90	100	98	94	91	95	95	93	91	92	99	93	91	93	95	91	97	94
3	7	8	10	11	12	13	5	16	17	9	18	4	20	1	19	15	2	14	6
18	6	3	7	2	4	17	13	19	12	11	15	14	8	16	1	20	9	10	5
19	12	2	9	1	7	11	14	17	10	18	13	3	4	16	6	8	5	20	15
11	12	4	18	16	6	8	15	1	3	10	7	17	5	9	19	20	13	2	14
5	11	20	14	9	7	12	4	6	2	18	16	13	1	10	19	8	15	17	3
7	11	19	16	12	5	4	15	8	1	9	10	2	13	18	6	3	14	17	20
10	13	15	2	17	3	20	5	4	18	1	12	9	11	7	19	16	8	6	14
8	20	7	19	2	12	10	6	13	14	3	11	18	9	16	17	4	5	15	1
1	18	8	9	16	13	17	4	3	15	5	20	12	10	7	2	19	11	6	14
5	6	20	13	3	9	1	16	7	17	14	8	4	12	2	11	18	15	19	10
15	7	4	3	2	6	11	16	5	9	1	10	18	19	12	14	20	17	13	8
12	14	11	5	16	17	1	15	19	20	7	2	9	18	10	3	13	6	4	8
15	5	19	9	11	2	3	10	7	13	12	14	6	18	17	20	8	16	4	1
14	13	18	2	5	20	11	1	16	6	8	19	10	12	7	9	3	15	17	4
20	14	15	2	16	11	17	5	12	1	3	9	7	19	18	13	6	4	8	10
16	19	20	6	9	5	15	3	11	12	18	7	13	10	17	4	1	14	8	2
7	14	5	15	2	13	6	19	12	1	20	10	3	18	16	11	8	9	4	17
9	20	19	5	17	2	4	7	3	18	6	10	13	8	15	14	12	1	16	11
9	17	20	4	7	11	2	1	14	10	13	15	16	6	12	5	19	8	3	18
4	6	1	11	3	16	7	9	12	17	8	13	5	10	19	18	2	20	15	14
