20	20
21	20	14	31	21	24	26	21	27	36	12	22	24	36	37	26	12	23	25	15
12	19	13	23	31	38	13	16	40	37	26	36	33	29	22	16	16	28	15	16
27	13	13	30	32	39	39	22	36	16	29	37	25	34	19	16	17	21	37	21
14	32	22	12	29	14	33	20	38	20	35	27	21	14	18	15	22	35	12	23
29	15	12	26	16	26	40	32	38	17	12	20	39	27	16	21	19	24	20	12
29	13	36	32	23	21	15	40	28	25	38	33	14	12	15	20	35	39	25	21
37	37	31	17	29	26	36	17	39	29	16	26	13	38	39	23	34	25	25	39
25	32	23	23	12	23	28	38	18	32	15	29	35	19	24	18	35	27	21	23
24	23	35	26	36	29	40	11	23	25	25	34	33	27	18	38	16	22	12	35
16	20	38	37	33	30	18	18	22	16	14	19	26	18	14	21	16	36	14	35
11	34	39	34	24	27	14	16	14	24	13	23	14	25	31	40	40	36	11	19
17	14	29	12	33	19	35	20	11	18	33	27	28	19	16	25	36	23	35	24
16	20	39	12	23	12	29	36	36	16	38	33	31	21	27	15	13	33	13	23
28	26	25	39	37	20	29	11	38	13	13	37	32	11	18	23	22	33	17	21
27	20	32	40	15	37	35	13	38	31	13	14	22	20	15	25	27	16	37	18
33	12	12	34	12	17	37	35	12	16	20	39	24	40	13	29	22	31	21	37
19	18	12	32	14	31	17	15	32	17	19	32	20	40	34	38	11	14	31	33
39	13	18	26	33	11	16	25	25	40	35	40	39	19	21	37	35	17	12	25
16	21	22	21	22	23	29	12	18	29	18	11	16	40	16	19	24	21	14	15
18	20	13	37	21	33	28	29	30	30	29	24	26	12	11	16	15	23	14	31
15	16	1	2	12	3	19	4	10	8	7	14	20	13	5	11	6	9	18	17
6	17	9	1	7	12	2	16	14	10	15	3	19	5	8	11	13	20	4	18
9	15	2	6	8	3	20	18	7	14	19	12	10	16	4	5	13	17	11	1
6	9	20	11	10	12	13	17	14	1	19	4	5	16	8	7	15	18	2	3
19	11	5	6	12	14	13	17	20	9	7	10	2	8	1	16	3	15	18	4
10	4	12	7	8	6	3	17	13	16	18	11	2	1	14	15	20	5	9	19
7	3	1	20	17	8	12	4	6	5	2	18	13	19	16	14	15	11	10	9
5	4	11	10	16	20	6	8	17	7	18	1	19	15	14	9	3	13	12	2
20	17	15	9	2	7	13	5	8	3	11	6	14	1	12	4	10	19	16	18
11	3	12	20	5	9	7	18	4	16	13	17	10	8	19	15	1	2	6	14
14	15	5	11	6	17	19	16	20	18	4	12	9	10	3	7	13	8	1	2
11	13	8	1	5	9	17	3	14	20	10	19	16	4	7	6	18	15	2	12
14	4	9	16	8	11	12	6	20	2	1	13	3	15	18	19	5	10	17	7
9	14	16	1	11	20	15	7	2	17	5	13	8	18	19	12	3	4	6	10
3	14	10	9	11	15	16	4	1	17	6	20	12	8	2	5	18	13	19	7
13	18	12	7	4	15	16	2	19	10	3	14	17	8	9	5	20	11	6	1
9	16	17	12	7	10	3	8	13	14	2	20	15	6	5	18	1	11	4	19
4	7	16	12	19	20	5	9	2	1	14	15	11	18	13	3	17	6	8	10
5	4	17	2	12	13	6	9	3	20	18	7	1	15	16	8	11	19	10	14
4	13	14	10	15	19	3	5	12	7	6	8	20	1	11	17	2	16	18	9
