30	30
23	26	32	11	14	38	14	18	20	30	32	29	15	34	17	35	35	23	37	12	17	18	34	25	35	28	16	36	24	19
20	31	30	27	30	16	26	26	11	29	14	35	28	30	40	30	30	25	18	11	12	20	36	11	21	31	34	14	22	29
34	39	13	11	11	15	32	16	17	19	31	28	26	15	20	21	37	35	12	12	18	20	36	14	17	34	22	25	29	38
11	25	14	32	23	36	21	31	22	15	17	15	26	31	14	23	15	31	19	25	26	31	14	37	34	26	24	32	32	27
28	16	20	14	11	16	11	28	29	15	13	27	40	14	13	21	24	27	18	32	20	11	21	29	22	37	34	38	13	36
13	14	38	14	29	25	14	31	28	29	38	25	20	37	12	15	21	33	22	19	22	13	30	27	11	33	11	17	30	25
21	30	35	39	19	24	35	40	13	14	13	22	24	27	19	19	30	19	37	13	35	31	14	23	40	25	11	15	14	24
22	39	33	24	36	24	22	35	27	35	40	32	25	36	27	39	36	33	32	40	30	12	19	11	15	38	38	36	17	32
24	18	35	35	26	20	29	19	33	26	22	17	26	40	36	12	33	23	35	40	35	14	29	26	14	21	23	17	14	33
40	16	34	22	11	22	19	31	21	33	22	16	40	39	26	19	13	38	30	36	34	32	30	25	31	32	40	14	14	18
20	20	20	34	14	25	37	29	23	14	20	21	38	24	18	18	40	32	12	23	13	13	35	12	16	19	15	11	22	13
16	32	27	19	40	12	28	27	14	35	38	19	31	15	27	36	14	18	39	14	29	40	28	12	29	28	40	31	40	13
16	16	23	23	32	40	13	26	38	32	18	18	22	33	28	17	18	29	39	22	30	28	20	40	25	32	20	36	29	11
38	20	39	22	28	20	37	11	33	27	21	15	35	31	14	30	19	35	38	40	38	25	34	11	30	19	18	34	24	37
28	35	31	34	11	22	39	15	36	11	21	25	33	39	31	29	15	33	14	37	30	18	19	40	24	16	11	19	26	26
32	22	15	18	39	24	37	21	31	25	28	38	30	14	20	29	32	13	30	32	37	22	34	39	39	29	24	34	12	17
21	32	27	38	27	37	39	14	37	28	21	20	23	24	36	17	17	18	19	24	35	18	27	35	33	35	26	36	19	14
17	28	18	31	36	13	39	27	35	29	24	34	35	15	15	23	28	34	33	36	31	12	16	36	34	38	40	12	30	32
34	30	33	33	18	20	28	20	33	11	30	35	15	28	31	32	27	14	21	12	31	15	15	27	27	26	21	24	19	38
22	31	17	20	39	38	26	14	30	23	29	28	21	13	12	22	14	23	15	37	12	28	11	18	35	37	15	14	16	17
14	13	36	19	39	12	39	15	37	11	35	24	30	20	32	16	12	18	40	19	33	31	18	14	32	38	23	14	17	31
18	30	11	16	38	22	20	30	18	32	16	39	19	22	25	11	19	30	17	36	21	30	13	38	34	11	30	37	25	11
30	17	12	23	38	36	29	24	20	15	36	40	38	28	14	13	31	24	36	26	34	15	20	15	28	29	24	24	34	13
14	20	37	34	37	33	33	23	26	13	37	30	17	25	27	40	39	26	37	19	11	21	22	24	18	17	24	32	26	20
17	32	22	29	18	39	12	20	13	29	39	25	16	38	33	15	40	29	39	25	40	29	12	23	11	20	27	13	19	30
40	21	27	37	38	35	35	12	11	16	35	13	26	14	39	25	16	22	30	35	17	31	17	39	30	17	13	39	39	17
16	38	16	24	20	15	33	24	32	38	28	14	24	30	37	19	36	32	24	16	33	27	36	25	34	16	12	16	17	23
37	21	38	33	25	19	18	24	16	26	38	21	14	21	29	36	38	36	14	40	25	29	16	37	15	28	16	35	14	16
19	15	37	28	34	35	12	29	12	25	28	18	32	22	25	27	31	12	28	40	23	33	25	33	11	13	30	34	39	36
25	29	22	31	20	25	11	23	33	20	29	15	18	14	27	23	16	31	24	27	24	29	30	28	18	37	28	25	40	14
23	18	4	8	1	9	16	27	12	15	6	14	20	13	5	22	10	7	3	26	25	19	28	17	29	24	2	30	21	11
20	17	6	5	3	22	10	28	12	15	16	23	30	7	14	18	13	26	11	8	24	9	21	25	19	4	29	2	27	1
15	27	26	4	8	9	24	17	28	25	29	18	20	11	19	7	6	30	22	16	13	2	3	10	14	5	1	23	12	21
15	11	25	24	4	14	8	1	5	7	18	17	29	3	27	26	19	28	13	16	23	2	12	22	21	6	9	20	10	30
12	16	15	14	10	3	9	18	26	19	25	7	30	4	2	28	27	22	21	24	5	6	20	23	8	29	13	11	1	17
25	19	26	20	4	14	9	3	23	11	12	8	24	1	5	2	15	7	16	13	28	22	18	29	6	27	21	10	30	17
