100	100
21	35	36	14	35	19	11	32	40	30	21	22	36	20	21	32	34	17	11	31	23	40	18	25	35	37	28	37	33	13	13	39	12	30	37	16	19	25	12	40	21	35	38	18	35	22	12	38	26	27	16	31	28	32	25	31	39	34	33	11	11	20	29	31	16	35	35	18	16	40	25	12	28	12	32	32	34	21	22	39	15	14	38	27	27	11	27	29	29	22	34	11	24	16	27	40	12	31	28	39
29	13	39	15	37	19	23	27	38	21	33	27	15	38	28	32	28	35	19	18	40	11	27	20	12	26	34	39	35	34	22	31	21	27	27	23	15	23	23	38	30	27	35	13	18	29	12	14	24	29	31	12	29	13	34	14	31	28	33	39	22	18	36	12	22	11	39	39	39	27	38	32	22	19	31	19	35	25	23	30	15	20	37	29	39	16	31	34	20	21	28	20	11	24	23	18	39	15	40	21
19	39	37	35	31	23	28	31	11	32	33	18	39	11	34	35	12	39	32	30	37	26	39	22	33	20	39	28	30	18	24	15	20	24	24	11	35	39	26	15	34	21	35	32	17	34	39	23	39	26	25	21	22	14	32	39	28	19	36	13	22	36	35	36	38	15	32	40	11	35	24	18	12	13	32	13	37	25	40	21	18	23	22	33	18	36	28	32	18	23	23	32	20	18	39	13	26	33	24	15
19	37	31	20	30	19	16	33	23	37	14	35	31	13	22	34	34	29	29	11	18	37	32	11	25	37	30	37	14	16	32	25	31	37	34	24	23	29	13	39	17	17	30	39	24	33	18	24	18	11	39	23	19	36	15	21	32	15	40	37	32	23	11	14	24	32	15	13	40	16	40	28	18	20	17	38	24	11	12	18	11	14	34	40	36	30	37	25	16	33	23	22	12	26	32	14	17	25	26	35
25	22	16	33	26	34	27	39	13	12	17	29	38	29	40	32	37	23	34	28	15	18	21	36	14	28	21	13	30	12	32	31	25	32	25	37	29	23	15	28	14	13	23	28	21	39	15	32	19	30	12	29	17	16	34	28	38	22	14	21	36	30	32	27	18	13	23	17	37	27	38	12	11	15	33	25	16	17	21	15	36	34	24	11	31	29	21	35	36	23	38	23	19	22	29	26	35	40	37	35
37	15	39	35	11	31	34	21	20	16	38	25	39	20	33	40	31	17	23	38	30	11	33	30	12	15	22	25	25	28	32	28	19	36	14	11	23	12	31	19	22	32	23	31	14	32	40	11	35	21	18	31	14	14	33	28	34	20	12	26	24	25	39	29	39	24	23	27	18	28	16	13	13	12	30	37	22	31	39	30	37	19	25	27	33	35	14	36	34	12	35	39	29	23	21	35	23	11	15	19
19	33	31	25	22	30	11	23	23	15	40	27	32	37	29	13	17	29	11	31	12	32	16	33	32	36	16	24	38	40	25	31	26	36	25	33	29	12	12	31	35	35	24	34	32	35	18	25	12	36	31	40	17	30	37	33	28	40	24	33	26	19	26	22	11	33	12	40	37	31	31	35	18	19	22	11	29	24	17	23	11	14	19	27	26	30	35	23	12	32	38	29	19	30	30	32	29	17	20	29
22	12	39	23	31	29	36	36	11	26	22	19	30	12	40	29	40	13	22	12	16	38	19	21	14	31	38	30	15	17	13	17	15	31	12	21	18	23	12	22	11	14	36	33	11	20	38	17	28	39	11	13	40	11	28	23	35	25	31	23	31	36	22	25	36	39	24	33	15	39	12	12	32	32	28	23	40	17	38	33	31	34	18	37	35	13	32	32	14	20	35	39	35	24	11	37	29	34	34	38
17	26	12	37	38	22	14	15	13	21	11	12	24	16	25	38	28	12	26	30	35	28	26	24	33	15	11	31	33	36	24	13	20	28	38	28	28	39	25	17	35	14	29	21	36	24	16	20	14	29	24	33	28	14	29	20	36	23	40	22	22	23	30	14	34	12	30	39	34	25	30	17	19	32	21	26	25	11	11	32	32	15	37	35	34	24	33	24	40	12	21	31	32	28	33	22	38	17	28	17
16	23	14	29	14	31	38	35	23	24	22	15	13	33	27	13	36	25	11	35	28	22	38	18	39	13	17	12	25	26	32	27	17	33	32	18	11	24	33	23	14	20	40	21	12	34	33	29	22	32	39	24	14	20	37	33	26	29	39	12	28	37	14	17	32	27	34	39	29	26	29	26	20	24	33	38	23	24	13	15	30	15	29	29	23	38	32	30	31	14	17	28	21	38	34	12	15	25	17	17
