10	10
100	97	95	91	98	97	98	92	99	100
97	97	97	99	98	94	92	96	100	94
93	90	97	95	95	99	96	96	98	92
95	98	91	92	100	97	90	98	93	100
91	90	93	92	93	92	99	92	91	90
91	99	99	90	97	92	96	93	97	98
92	96	97	100	97	99	92	97	95	93
90	95	94	93	98	99	95	98	100	96
97	90	94	96	98	94	98	91	99	95
94	92	93	94	97	96	96	98	90	93
10	1	8	4	2	3	9	5	7	6
2	8	5	4	10	6	9	3	1	7
4	6	7	5	10	9	2	3	8	1
8	9	6	1	5	3	7	10	2	4
1	8	6	5	3	4	2	9	7	10
3	6	8	2	1	7	4	9	5	10
5	4	7	9	1	3	2	10	8	6
6	9	7	2	10	8	1	4	3	5
8	9	2	6	10	3	7	1	5	4
10	7	6	3	8	9	4	1	5	2
