10	10
93	94	91	99	95	100	98	93	98	90
95	91	93	100	99	92	92	96	98	99
93	94	95	95	97	100	99	100	92	96
99	95	91	96	94	95	98	100	90	97
92	96	97	94	98	99	96	94	95	92
92	96	96	96	97	100	99	96	90	99
92	97	99	92	96	100	93	90	99	90
90	96	99	97	94	97	99	94	98	92
97	92	98	96	95	92	93	93	98	97
99	97	93	100	98	90	97	93	90	99
5	8	9	7	10	4	3	6	2	1
8	3	10	1	5	9	4	2	6	7
3	4	6	5	10	2	1	8	7	9
1	2	8	4	5	9	7	10	3	6
4	2	9	5	1	3	6	7	10	8
9	3	10	1	8	4	7	6	2	5
4	3	10	6	1	2	5	8	9	7
1	2	5	9	7	8	6	10	4	3
1	9	6	8	2	4	10	5	3	7
4	6	5	7	9	2	8	10	3	1
