10	10
38	13	73	10	76	6	80	65	17	2
77	72	7	26	51	21	19	85	12	29
30	15	51	69	88	88	95	97	87	14
10	8	64	62	23	58	2	1	61	82
9	89	14	48	73	31	72	4	71	22
50	58	4	69	25	44	77	27	53	81
42	83	16	65	69	26	99	88	8	27
26	23	10	68	24	28	38	58	84	39
9	33	35	11	24	16	88	26	72	93
75	63	47	33	89	24	56	66	78	4
4	7	2	10	3	5	8	6	9	1
6	2	1	3	7	10	5	4	9	8
6	4	10	7	3	9	1	2	5	8
7	5	4	6	3	1	9	10	2	8
5	6	7	1	8	10	4	3	9	2
9	5	8	4	6	10	2	1	7	3
10	4	7	8	9	1	5	3	2	6
3	4	7	10	2	9	6	8	1	5
1	9	3	10	8	5	6	7	2	4
6	8	1	7	5	3	2	4	10	9
